StatLevel/internal05,Greater Yang
Story/D_6_5_3_3_043,"It's okay, don't worry"
Story/D_6_5_3_3_042,You still know pain
Story/D_6_5_3_3_041,Can it not hurt?
Story/D_6_5_3_3_040,......Does the wound hurt?
Story/D_6_5_3_3_039,But Great Hero Zhao deserves respect. We will take on the responsibility. You should quickly say your farewells properly.
Story/D_6_5_3_3_038,"Miss, we obey the Leader, who in turn obeys the Family Head. We were sent to monitor you, and we don't follow your orders."
Story/D_6_5_3_3_037,You also leave
Story/D_6_5_3_3_036,"......Many, thank you."
Story/D_6_5_3_3_035,"Here are ten ounces of gold. Please accept it, Great Hero of the Tang Clan."
Story/D_6_5_3_3_034,"You two disciples, let us be alone for a while."
Story/D_6_5_3_3_033,Just say a few words
Story/D_6_5_3_3_032,"Of course, you can, but your father might not like it."
Story/T_6_5_3_3_001,When has Miss Ying been so polite to me?
Story/D_6_5_3_3_031,"Of course, my people will also retreat"
Story/D_6_5_3_3_107,"......Many, thank you."
Story/D_6_5_3_3_106,"Yes, indeed, as a mere merchant, I can't understand, and I have no intention of trying to comprehend it. Here's the gold, I'll be going now."
Story/D_6_5_3_3_105,Jianghu people's struggles have always been driven by a single‑minded resolve.
Story/D_6_5_3_3_104,"The person leading the Tang Clan team, turns out they can't hold their temper."
Story/D_6_5_3_3_030,"......Zhao the Great Hero, can you have a moment to talk alone?"
Story/D_6_5_3_3_029,We are here to deliver the prize money‑Is this how the Tang Clan welcomes guests?
Story/D_6_5_3_3_028,Sorry
Story/D_6_5_3_3_027,"I'm going to wash my hands by the stream, your blood is really disgusting."
Story/D_6_5_3_3_026,"Thank you, sister disciple"
Story/D_6_5_3_3_103,My medical skills aren't as good as Senior Sister Tang Fang's; I can only manage in an emergency. Please be patient.
Story/D_6_5_3_3_025,"No, I have to stay awake"
Story/D_6_5_3_3_024,"Senior Brother, you've sustained blade wounds and internal injuries. I've stopped the bleeding and bandaged you, so for now, there's no immediate danger to your life. But if you keep causing a ruckus, it might not be safe. Why don't you rest for a while?"
Story/D_6_5_3_3_023,"Senior Brother, the bandage is done, there's no major issue. But for now, it's not advisable to fight again, otherwise it might split open."
Story/T_6_5_3_3_005,Such a waste
Story/D_6_5_3_3_102,"Little Mei, sister disciple, don't worry, he has plenty of blood; a little bleeding isn't a big deal."
Story/D_6_5_3_3_101,"A'Huo, you're bleeding!"
Story/D_6_5_3_3_100,"Right, it's correct, but Master's wife, you might need to be careful. The blood has stopped, and the younger brother's breathing is also about to stop."
Story/D_6_5_3_3_099,What's next? Is just applying pressure to stop the bleeding enough?
Story/T_6_5_3_3_004,"But the heart still hurts, ah"
Story/D_6_5_3_3_098,He's being reckless and causing himself trouble; I wouldn't worry about him at all.
Story/D_6_5_3_3_097,"Yunshang, don't be nervous. My senior brother has a strong destiny; you know best."
Story/D_6_5_3_3_096,……。
Story/D_6_5_3_3_095,I would never not treat them as a person...
Story/D_6_5_3_3_094,"Don't panic, Little Junior Sister. You're now treating him as your cherished treasure, which is why you're so concerned and confused. Remember the days when you treated him as if he were nothing more than an object‑this time, he won't die."
Story/D_6_5_3_3_093,Senior Brother... Senior Brother!
Story/D_6_5_3_3_092,"......Many, thank you."
Story/D_6_5_3_3_091,"......You think you're more perceptive than me, but don't be foolish. Here's ten taels of gold, a modest woman must leave now."
Story/D_6_5_3_3_090,"Madam Shangguan, please be cautious in your words. This person is a disciple of the Kongtong Sect."
Story/D_6_5_3_3_089,"The one leading the Tang Clan's team, it seems, couldn't hold their composure. Master Wei, you've rejected noble families and aristocratic clans, and yet your husband, chosen after countless selections, is this kind of person?"
Story/D_6_5_3_3_022,"Lady Zhao Huo,... may I have a word with you alone for a moment?"
Story/D_6_5_3_3_021,Master Wei
Story/D_6_5_3_3_020,Lady Shangguan
Story/D_6_5_3_3_019,We are here to deliver the prize money‑Is this how the Tang Clan welcomes guests?
Story/D_6_5_3_3_018,This...
Story/D_6_5_3_3_017,"That's correct, but......"
Story/D_6_5_3_3_016,"I don't have to inform you about everything, do I?"
Story/D_6_5_3_3_015,"Dare I inquire, Leader, why have you suddenly advanced? Also, I do not know if we will meet."
Story/D_6_5_3_3_014,Sorry
Story/D_6_5_3_3_013,"I'm going to wash my hands by the stream, your blood is really disgusting."
Story/N_6_5_3_3_001,"Xiaoju hesitated to speak, seeing you injured also felt a pang of sympathy, had to forcibly suppress their words."
Story/D_6_5_3_3_012,Brother Zhao... How could you be so reckless?
Story/D_6_5_3_3_011,"No, I have to stay awake"
Story/D_6_5_3_3_010,"Senior Brother, you've sustained blade wounds and internal injuries. I've stopped the bleeding and bandaged you, so for now, there's no immediate danger to your life. But if you keep causing a ruckus, it might not be safe. Why don't you rest for a while?"
Story/D_6_5_3_3_009,"This person has a lot of blood; even if they are cut several times with a knife, they won't die. Don't worry."
Story/D_6_5_3_3_008,"Thank you, sister disciple"
Story/D_6_5_3_3_007,"They have all been bandaged, but for now, it's not advisable to fight again, otherwise it might split open."
Story/D_6_5_3_3_006,It's fine as long as there's no major problem.
Story/D_6_5_3_3_005,"There was a little bit of it before, but it's completely gone now."
Story/D_6_5_3_3_004,Do you have any respect for your senior brother?
Story/D_6_5_3_3_003,"Miss Wei, don't worry. My senior brother doesn't have any other skills, just that he's unusually resilient. We've beaten him harder before without killing him, so he won't die now."
Story/D_6_5_3_3_002,"Miss Wei, don't worry. There's a saying that a curse lasts for a thousand years; this beast won't die in a while."
Story/D_6_5_3_3_001,Zhao Lang! Do you have a major problem?
Story/T_6_5_3_2_006,"Ten taels of gold, that's thirty guan of money, enough for me to live a life of luxury, eating and drinking extravagantly, ya!"
Story/T_6_5_3_2_005,"As long as you parry a few moves, you'll get ten taels of gold!"
Story/D_6_5_3_2_058,"Where do you, little brat, think you can show off your courage? Let me, Manor Master Lu Rendie, deal with you!"
Story/D_6_5_3_2_057,"Oh dear! Fang Zhen Tian was just about to seek guidance from Senior Shangguan, but alas! Even if they had the intention to be lenient towards the junior, Senior Shangguan's leniency was excessive! Alas, alas!"
Story/D_6_5_3_2_056,"If there's no one in the arena, then no one will still want to vie for the alliance leader's position, right?"
Story/D_6_5_3_2_055,No problem
Story/D_6_5_3_2_054,"Lord Shangguan, is there a major obstacle?"
Story/D_6_5_3_2_053,Yes
Story/D_6_5_3_2_052,Go down
Story/D_6_5_3_2_051,"Lord, the hidden weapon has been removed. Fortunately, it's not poisonous, and the wound has been bandaged."
Story/N_6_5_3_2_005,"Even so, you, a young apprentice, managing to hold your own against a renowned master, that's quite astonishing. It's said the Tang Clan's masters have been wiped out, yet here you are, another ruthless character emerging. Your martial arts are formidable, yet you look so unassuming, almost too deceptive."
Story/T_6_5_3_2_004,"However, in that case, Kongtong's representative would no longer be able to participate. Although Kongtong could also nominate him, it would certainly draw criticism. I need to find another way to create a disturbance."
Story/D_6_5_3_2_050,"However, the person in charge seems to have an injury, so I have to go over there to visit them."
Story/D_6_5_3_2_049,"That's... my husband, truly remarkable. My younger sister would be honored, naturally taking pride in him."
Story/D_6_5_3_2_048,Lady Jue laughed so hard she couldn't close her mouth.
Story/D_6_5_3_2_047,"Elder Brother Danxiazi, the one leading the fight didn't win, it was a draw. Don't get too overconfident, or others will mock our Kongtong sect's arrogance."
Story/D_6_5_3_2_046,"Haha! See that? That's the palm master of the Kongtong Sect! Though young, they have high spirit, and they've mastered all eighteen martial arts skills. With a few more years of training, who knows what they could become?"
Story/N_6_5_3_2_004,"The people in Jianghu weren't very convinced about you, the new leader of Kongtong, thinking you must have done some underhanded schemes or just had a lucky break to become the sect's leader. Now, seeing you can stand on equal footing with renowned masters across the land, they are all stunned."
Story/N_6_5_3_2_003,"Shangguan Jun, though ruthless, still maintained the composure of a martial arts master. Unwilling to admit defeat, he also didn't want to take too much advantage. Calling it a draw, the true result was known only to the parties involved and a select few masters present."
Story/D_6_5_3_2_045,"Ladies and gentlemen, in this match, I and Young Hero Zhao of the Tang Clan are even, so I shall retire gracefully."
Story/D_6_5_3_2_065,"Lord Shangguan, have you sustained any injuries?"
Story/D_6_5_3_2_064,Hmph!
Story/D_6_5_3_2_063,What great luck! Lord Shangguan!
Story/D_6_5_3_2_062,"Lord Song said this, Mr. Zhao will certainly comply."
Story/T_6_5_3_2_008,I hadn't originally intended to end this old villain's life. Humiliating him in public allowed me to vent my anger.
Story/D_6_5_3_2_061,"Enough, Young Hero Zhao, the outcome has been decided. This is a sparring match, not a life‑and‑death arena. If there are any grudges, settle them privately."
Story/D_6_5_3_2_060,"Enough, Zhao, don't be overbearing"
Story/T_6_5_3_2_007,"Though I, Shangguan, haven't fought in years, it's inevitable to feel rusty, yet I took a risky strategy and unleashed my ultimate move‑only to have him spit a mouthful of blood? I‑have lost."
Story/D_6_5_3_2_059,"Shangguan family's main act was excellent, clearing out a lump of old phlegm stuck in my chest, leaving me thoroughly refreshed and invigorated. Why not proceed further?"
Story/T_6_5_3_2_003,"My techniques have been completely countered, and even when I unleashed my ultimate move, I couldn't take their life. They only spat out a mouthful of blood, still with some strength left. It's that ugly brat you've been protecting who won. Although I haven't fought in many years and naturally feel a bit rusty, this brat..."
Story/T_6_5_3_2_002,"...You fool, you can't even see the situation clearly."
Story/D_6_5_3_2_042,"Thank you, Father, for showing mercy and not harming the daughter's friend's life."
Story/N_6_5_3_2_002,"Shangguan Ying wiped away her tears, turned back, and once again appeared calm and composed."
Story/D_6_5_3_2_041,"......Please, hurry up and go......"
Story/D_6_5_3_2_040,……。
Story/D_6_5_3_2_039,"You think I don't know what you're thinking? I'm not your person, don't act like you're superior. Dare you lay a hand on my father? I... I hate you! Get out! Get out!"
Story/D_6_5_3_2_038,"You, you shut up!"
Story/D_6_5_3_2_037,"Miss Ying, I can still fight"
Story/D_6_5_3_2_036,Father! Stop fighting! You can't kill him! This is the Wulin Gathering!
Story/D_6_5_3_2_035,Cough
Story/D_6_5_3_2_034,Who... who won? This even counts as a win for someone?
Story/D_6_5_3_2_033,……。
Story/D_6_5_3_2_032,……。
Story/D_6_5_3_2_03,Let me just say thanks first!
Story/D_6_5_3_2_030,"If you can survive ten moves under my hand, I'll give you a memorable nickname."
Story/D_6_5_3_2_029,Not yet
Story/D_6_5_3_2_028,"Well, just this courage is already no ordinary. Do you have a Jianghu nickname?"
Story/D_6_5_3_2_027,"Master Fang Zhen Tian has long heard of the senior's Golden‑Backed Dragon King Blade. As those who wield blades, how could one suppress the urge to seek your guidance?"
Story/D_6_5_3_2_026,"Jingjiang Prefecture's Nine Lands Mountains and Waters Alliance elects a young hero named Fang Zhen Tian, whose martial arts skills are unparalleled and whose spirit is filled with boundless heroism!"
Story/D_6_5_3_2_025,Who are you? Which sect recommended you?
Story/D_6_5_3_2_024,"Senior, I can't take this!"
Story/D_6_5_3_2_023,"...What's going on? They say the later waves of the Yangtze River push the earlier ones, and new people replace the old ones in fleeting matters. How come among you young ones, there's not a single one with backbone who dares to challenge me!"
Story/D_6_5_3_2_022,"Since that's the case, I'll be going then."
Story/D_6_5_3_2_021,Dealing with this kid is just a warm‑up.
Story/D_6_5_3_2_020,"Lord Shangguan, is it going to be a continuous battle?"
Story/N_6_5_3_2_001,"You were the first to step forward to challenge, yet you suffered a miserable defeat. Though this outcome was not difficult to anticipate‑no one could confidently take on Shangguan Family's master with their knife‑it still couldn't help but lead people to ridicule your overconfidence and ugly people often do strange things."
Story/D_6_5_3_2_019,"Tang Clan, come here!"
Story/D_6_5_3_2_018,"Zhao Huo, you have committed many evils and are not a good person. I shouldn't have saved you, but the Wulin gathering cannot be tainted by your filth. Go away."
Story/D_6_5_3_2_017,Still not embarrassed enough? This isn't for you. Come here! Take her away!
Story/D_6_5_3_2_016,"Thank you, Father......"
Story/D_6_5_3_2_015,Shangguan family affairs‑don't trouble outsiders!
Story/D_6_5_3_2_014,"Wait... The matter isn't over yet, Miss Ying's matter..."
Story/D_6_5_3_2_013,That Zhao kid saved a life‑get out
Story/D_6_5_3_2_012,"Excuse me, Lord Song, it was due to a momentary outburst; I hope you won't take it to heart. Later, Brother will set up several tables of banquets to apologize to you."
Story/D_6_5_3_2_011,……。
Story/D_6_5_3_2_010,"Lord Shangguan! What are you doing? The rules set earlier, are they being forgotten so quickly? Even if there's a personal grudge, you can't take advantage of this opportunity to act out! Don't forget your imperial mission!"
Story/D_6_5_3_2_009,"Father, I obey your instructions on everything. Can't you... can't you grant my daughter a little request?"
Story/D_6_5_3_2_008,Get lost!
Story/D_6_5_3_2_007,Father! Don't kill him! This is a Wulin Gathering!
Story/D_6_5_3_2_006,"Lord Song, step aside"
Story/D_6_5_3_2_005,"Oh! Stop, Lord Shangguan!"
Story/D_6_5_3_2_004,Die!
Story/D_6_5_3_2_003,The younger generation's ignorance is nothing else but so.
Story/D_6_5_3_2_002,Kongtong's new master is also no different from this.
Story/T_6_5_3_2_001,"Too, too strong! This is the Shangguan Family Head!"
Story/D_6_5_3_2_001,Ahem!
Story/D_6_5_3_1_054,"What a brash young man, pay the price for your arrogant words."
Story/D_6_5_3_1_053,"It's not wanting, I will win"
Story/D_6_5_3_1_052,"I, a mere servant, how dare I even think of winning? I only wish to kill you."
Story/D_6_5_3_1_042,"A frog at the bottom of the well with no great ambitions, every word I say to you is unnecessary. You may as well die."
Story/D_6_5_3_1_041,Who made your daughter look so good?
Story/D_6_5_3_1_040,"No, you are indeed entranced by form"
Story/D_6_5_3_1_039,Not at all lustful
Story/D_6_5_3_1_038,"Ha, ha, the result is lust, ignorance, and superficiality."
Story/D_6_5_3_1_037,Shangguan Ying
Story/D_6_5_3_1_036,What do you want?
Story/D_6_5_3_1_035,"The stakes are worth a thousand gold, yet life and death should have a different wager."
Story/D_6_5_3_1_034,"You, this young upstart who doesn't know the vastness of the sky or the depth of the earth, do you really want to beat me?"
Story/D_6_5_3_1_033,"Senior, did you think you would win for sure?"
Story/D_6_5_3_1_032,So‑called justice is nothing more than a fleeting breath. Did you come all the way here just to die for this?
Story/D_6_5_3_1_031,"Want money? Power? Status? If you desire these, why delay until now?"
Story/D_6_5_3_1_030,"Fools, the Tang Clan has no exceptions‑every single one of you is a fool. I really don't know what's in your heads, neither black nor white, both righteous and wicked, and in the end, you end up offending everyone."
Story/D_6_5_3_1_029,I dare not; it's just my backbone causing trouble.
Story/D_6_5_3_1_051,"Well, you little brat is amusing Shangguan. Did you think I was being pleasant in front of everyone, that I was easy to deal with? If you want to die, then let you have your way!"
Story/D_6_5_3_1_050,How is the son‑in‑law?
Story/D_6_5_3_1_049,"Thanking Lord Shangguan for your kindness, I will not be reserved and speak freely."
Story/D_6_5_3_1_048,"Sure, what position are you considering me for? Given your abilities, Cang Gang could be entrusted to you."
Story/D_6_5_3_1_047,He's not without brains
Story/D_6_5_3_1_046,"Doing business, I have to find ways to boost my own value. Lord Shangguan is persuading me now, and I guarantee that I will lose beautifully."
Story/D_6_5_3_1_045,Your esteemed lady wants me to be your servant. Would a man of honor like me agree to that?
Story/D_6_5_3_1_044,"Are you really willing to give up the Tang Clan? My daughter said she urged you repeatedly, yet you seem completely unmoved."
Story/D_6_5_3_1_043,"I heard that the Shangguan Clan values and recruits talents, not hesitating to spend heavily to attract talent. Senior, what do you think of me?"
Story/O_6_5_3_1_003,Unlock conditions: Mouth Power >= 50
Story/O_6_5_3_1_002,I heard that the Shangguan Clan honors the virtuous and humbles the gentry.
Story/O_6_5_3_1_001,Main Attack
Story/D_6_5_3_1_028,"You little guy, you've got quite the guts."
Story/D_6_5_3_1_027,Hahaha!
Story/D_6_5_3_1_026,Hahaha!
Story/D_6_5_3_1_025,You've ruined the Tang Clan; I'll take this opportunity to retaliate and disrupt your actions. Watch as the Chincha Lord messes up the tasks assigned by the officials and faces the consequences.
Story/D_6_5_3_1_024,I?
Story/D_6_5_3_1_023,I am here for you
Story/D_6_5_3_1_022,"Senior, please do not ridicule me. How dare I covet the position of Alliance Leader of the Wulin? Besides, gold is but a trivial matter."
Story/D_6_5_3_1_021,Then I won't pursue the matter; I'll just seek justice.
Story/D_6_5_3_1_020,"You don't have evidence, so what are you complaining about?"
Story/D_6_5_3_1_019,"Whether or not to be the Alliance Leader, Gold Yunyun is secondary; first and foremost, they need to seek an explanation for what happened before."
Story/D_6_5_3_1_018,Is it you that Tang Clan proposes as the Leader of the Wulin Alliance? Do you think you are worthy to be the Leader of the Wulin? Or is it about my thousand tael golden bars?
Story/D_6_5_3_1_017,I have self‑awareness
Story/D_6_5_3_1_016,"Hmph, flattery can't even be said to be a person of outstanding appearance."
Story/D_6_5_3_1_015,Exactly
Story/D_6_5_3_1_014,...You are indeed Zhao Huo of the Tang Clan.
Story/D_6_5_3_1_013,It is......
Story/D_6_5_3_1_012,"Ying'er, don't let Father say it a second time."
Story/T_6_5_3_1_002,"Ying Miss scolded me; this is her caring for me, I know."
Story/N_6_5_3_1_001,Shangguan Ying says yes on her lips but keeps giving you intense eye signals. Her concern is evident; she's genuinely afraid you'll be killed.
Story/T_6_5_3_1_001,"Zhao Huo, you had better leave right now! My father doesn't seek trouble with you, yet you come looking for him! He doesn't expect the position of Alliance Leader, but he won't give up on ruining the Tang Clan. Pretending to accidentally eliminate you, who will the Tang Clan rely on in the future!"
Story/D_6_5_3_1_011,Yes
Story/D_6_5_3_1_010,Step down
Story/D_6_5_3_1_009,"But Father, such a servant, killing them would only soil your hands, better not to..."
Story/D_6_5_3_1_008,Be quiet
Story/D_6_5_3_1_007,"Don't you want to live anymore! Hurry up, hurry up, get out of here! What are you, something? Dare to compete with the head of the Shangguan family! Don't use dirty blood to soil the sacred blade, get out!"
Story/D_6_5_3_1_006,"Zhao Huo, you clumsy fool... what are you doing?"
Story/D_6_5_3_1_005,"Lord Shangguan's Blade Art is far superior to mine; it's not to be taken lightly, be cautious."
Story/D_6_5_3_1_004,Okay
Story/D_6_5_3_1_003,"...Lord Song, please have the guards step back. On one hand, to prevent bystanders from interfering, and on the other hand, to avoid blades and swords being blind, accidentally injuring our own people."
Story/D_6_5_3_1_002,"Senior Uncle Shangguan, Zhao Huo from the Tang Clan comes to seek your guidance."
Story/D_6_5_3_1_001,"Jianghu's junior scholar, Tang Clan Zhao Huo pays respects to the Senior Elder Shangguan."
Story/D_6_5_3_200,Let me just say thanks first!
Story/D_6_5_3_199,"If you can survive ten moves under my hand, I'll give you a memorable nickname."
Story/D_6_5_3_198,Not yet
Story/D_6_5_3_197,"Good, young man, you have courage‑do you have a Jianghu nickname?"
Story/D_6_5_3_196,"Master Fang Zhen Tian has long heard of the senior's Golden‑Backed Dragon King Blade. As those who wield blades, how could one suppress the urge to seek your guidance?"
Story/D_6_5_3_195,"Jingjiang Prefecture's Nine Lands Mountains and Waters Alliance elects a young hero named Fang Zhen Tian, whose martial arts skills are unparalleled and whose spirit is filled with boundless heroism!"
Story/D_6_5_3_194,Senior Brother is right
Story/D_6_5_3_193,The Shangguan Clan's interference in the Tang Clan's family affairs has caused internal strife; these old scores must be settled one by one. But not now‑can't be reckless.
Story/D_6_5_3_214,"...You're right... The bigger picture is important, so I can only endure."
Story/O_6_5_3_011,Let him off the hook for now
Story/D_6_5_3_213,Senior Brother! Senior Brother!
Story/D_6_5_3_212,"No problem, just win and that's all"
Story/D_6_5_3_211,"Senior Brother, don't be impulsive! Each sect can only recommend one person. If you rush forward first and get defeated, how can our sect still hold its head high among the Wulin's peers?"
Story/D_6_5_3_210,"Shangguan Family's interference in the Tang Clan's family affairs has long been on my mind; I've wanted to trouble them, but they've been busy and far away. Now, with the Wulin Gathering, the opportunity to openly assault Imperial Court officials is a once‑in‑a‑thousand‑years chance."
Story/D_6_5_3_209,Do you think the court would allow the Tang Clan to be the Leader of the Wulin Alliance? We traveled a thousand miles to participate in this grand meeting. Are there not more worthy opponents than Master Shangguan?
Story/D_6_5_3_208,"The Shangguan Clan is supporting traitors, causing chaos within the Tang Clan. How can I not question the Shangguan Elder about this?"
Story/D_6_5_3_207,Huh? What's going on? I want to hit him. Is that an impossible thing?
Story/D_6_5_3_206,Hmm? You weren't saying earlier...
Story/D_6_5_3_205,"Okay, I'm going to beat him up"
Story/O_6_5_3_010,Unlock Condition: Personality is Brave or higher
Story/O_6_5_3_009,"Alright, I'll go give them a beating"
Story/D_6_5_3_192,...that makes sense.
Story/O_6_5_3_008,"Compared to personal affection, the sect comes first."
Story/D_6_5_3_191,Senior Brother! Senior Brother!
Story/D_6_5_3_190,There's an opportunity to seize!
Story/D_6_5_3_189,...that makes sense.
Story/O_6_5_3_007,Ambush the disciple
Story/D_6_5_3_188,"That's right. I know you're going after Shangguan Lady. But where there's a will, there's a way‑can you really outmatch those powerful aristocratic families? If you're determined to go, you'll have to cross over my body first."
Story/D_6_5_3_187,I understand... I won't go.
Story/O_6_5_3_006,Not going
Story/D_6_5_3_186,……！
Story/D_6_5_3_185,"Just win the fight, and that's all"
Story/D_6_5_3_184,Senior Brother! Senior Brother!
Story/D_6_5_3_183,"Sorry, the outcome is uncertain‑I also have no choice but to go."
Story/O_6_5_3_005,Still want to go
Story/D_6_5_3_182,"Senior Brother, don't be impulsive! Each sect can only recommend one person. If you rush forward first and get defeated, how can our sect still hold its head high among the Wulin's peers?"
Story/D_6_5_3_181,"You see, how could the court permit the Tang Clan to be the Leader of the Wulin Alliance? We traveled a thousand miles to attend this grand meeting, wasn't it just to give Old Tyrant Shangguan a good beating?"
Story/D_6_5_3_180,"He meddled in the Tang Clan's family affairs and wanted to sell my beloved, so I naturally had to charge at him and slap him a few times on the face to feel satisfied."
Story/D_6_5_3_179,Do you think the court would allow the Tang Clan to be the Leader of the Wulin Alliance? We traveled a thousand miles to participate in this grand meeting. Are there not more worthy opponents than Master Shangguan?
Story/D_6_5_3_178,"Shangguan caused chaos within the Tang Clan, and there's also the matter of Miss Ying. Can I not inquire with Shangguan Senior about it?"
Story/D_6_5_3_177,Huh?
Story/D_6_5_3_176,......Perhaps I dare.
Story/D_6_5_3_175,That's true
Story/D_6_5_3_174,"That's a given; he's one of the three major chieftains, a top‑tier master on par with our sect leader. He might even be among the top ten masters. Who among the younger generation would dare to challenge him and seek trouble for themselves? Even with money, you need a life to spend it."
Story/D_6_5_3_173,"......But what's going on here? A reward of a thousand taels of gold has been offered, yet the sects are whispering among themselves, discussing fervently, and not a single person dares to step forward. I thought the Wulin had no shortage of bloodthirsty individuals who would rush into battle for the promise of wealth."
Story/D_6_5_3_172,"So calculated, those who enter the fray first aren't considered to have lost."
Story/D_6_5_3_171,Did Lord Shangguan originally not want to be the Leader of the Wulin Alliance?
Story/D_6_5_3_170,"If someone enters the arena first and wins ten consecutive battles, they would then be entitled to a thousand taels of gold."
Story/D_6_5_3_169,"No, this thousand taels of gold is presented to all brave martial heroes who dare to enter the arena to benefit the Wulin! Anyone who enters the arena, regardless of winning or losing, will receive ten taels of gold. Those who continue to participate will double the reward. One becomes two, two becomes four, four becomes eight."
Story/D_6_5_3_168,A thousand taels of gold given to one person?
Story/D_6_5_3_167,"A true man's word once spoken, how could there be a reason to regret it? Naturally, it's true."
Story/D_6_5_3_166,"Lord Shangguan, this... is this truly the case?"
Story/D_6_5_3_165,"Shangguan Jun is here, I wish to offer a thousand taels of gold as a gift!"
Story/D_6_5_3_164,"The venerable Nangong Hero of old was public‑spirited and righteous, contributing a thousand taels of gold to support overseas study for the vision of the Wulin. Today, as I, Shangguan Jun, re‑enter the Jianghu to host this grand martial gathering, I cannot rely solely on the government and make no gesture at all."
Story/D_6_5_3_163,...Not only that
Story/N_6_5_3_006,"Upon these words, everyone present was taken aback. They all thought that Lord Shangguan would certainly decline even if he were to be the leader of the alliance, so none expected him to be the first to step forward."
Story/D_6_5_3_162,"You all, who will receive my twenty‑eight forms of Surging Wave Blade Technique!"
Story/D_6_5_3_161,"It's inevitable to suffer losses. Shangguan has already washed their hands in a golden basin and hasn't fought for many years. This position of Wulin Alliance Leader I've never dared to covet; better to be the first to step forward, to throw a brick to lead the way!"
Story/D_6_5_3_160,"Lord Shangguan, but in that case, wouldn't those who entered first suffer a disadvantage?"
Story/D_6_5_3_159,"What Nangong the Martial Hero said exactly aligns with Lord Shangguan's thoughts. Those present today are all good friends who wish to take an oath by blood and work together for great endeavors in the future. We cannot make the blood oath lightly, otherwise it would be inauspicious."
Story/D_6_5_3_158,T‑truly deserving of being the patriarch
Story/D_6_5_3_157,"Exactly so, Great Hero Nangong is indeed the Jianghu Peacemaker, benevolent and kind‑hearted! Everything has been fully planned!"
Story/D_6_5_3_156,Father is entirely correct. Those who strike others to cause them injury or even death lack virtue and are not worthy of being the leader!
Story/D_6_5_3_155,All present here are Wulin masters. Who is stronger or weaker can be seen at a glance. Don't cause trouble or stir up unnecessary conflicts.
Story/D_6_5_3_154,"In my opinion, rules must be established. Each sect should nominate one person to enter the arena for mutual exchange and stop at a point. When the skills astonish all present and there are no more objections, that person shall be the rightful Leader of the Wulin Alliance."
Story/D_6_5_3_153,"Since we're all Jianghu people, sparring and exchanging skills is also good. However, debating honor through duels shouldn't damage the harmony; it would be counterproductive instead. Moreover, there are so many heroes present; everyone is itching to show off their skills. When would this ever end? That's like waiting until the monkey year and horse month!"
Story/D_6_5_3_152,"Great Hero Nangong, please speak. We are all attentive ears."
Story/D_6_5_3_151,I have something to say
Story/D_6_5_3_150,"Great Hero Nangong, Sect Leaders of All Factions, are there any objections from esteemed individuals present?"
Story/N_6_5_3_005,"Thinking of Master Shangguan, although he has washed his hands in the golden basin and still holds a high position in government, he still possesses a strong spirit and cannot escape the Jianghu dust; undoubtedly, he remains one of us."
Story/N_6_5_3_004,"The crowd was actually anxious, most afraid that the Imperial Court would hang a sheep's head and sell dog meat, claiming to hold a Wulin Assembly but in reality, forcefully appointing an alliance leader to use a restraining technique on the various sects. Upon hearing that the opinion of selecting an alliance leader through combat was adopted, none could help but exhale a big sigh of relief."
Story/D_6_5_3_149,"Since Lord Shangguan has said this, Song naturally has no objection."
Story/D_6_5_3_148,"This is the way of the Jianghu people, Lord Song‑do you have any objections?"
Story/D_6_5_3_147,"Good! All of you are Jianghu heroes, resolving grievances with righteous intent. Shangguan may as well follow good advice readily."
Story/D_6_5_3_146,Yes! Absolutely!
Story/D_6_5_3_145,"All you heroes, isn't that right?"
Story/D_6_5_3_144,"That's natural; one must be well‑versed in both literature and martial arts, possessing benevolence and righteousness, to command the loyalty of the masses. As for family background, it's secondary. Why worry about lacking background? Everyone here is the leader's background!"
Story/D_6_5_3_143,"Right, we're not selecting a top scholar, it's the Wulin Gathering, so naturally, the strong ones will command respect. Though that's true, after all, everyone is entrusting their lives to the leader. This leader can't be illiterate or too incompetent!"
Story/D_6_5_3_142,"The Six Major Sects each dominate their own territory, none respects the other, each excels in their own domain, and no resolution can be reached. In my opinion, it's better to see who's stronger in actual combat. Whoever has the superior martial arts will earn everyone's respect! All will obey his command!"
Story/D_6_5_3_141,"The Shangguan Clan has the Imperial Court's support, wealth, and power. No matter how you look at it, they have no rivals. Even if you don't want to, you have to obey; that's how the world works."
Story/O_6_5_3_004,The Shangguan Family has the Imperial Court's support.
Story/D_6_5_3_140,"Instead, the Nangong Household has long been at the heart of the Wulin and Jianghu, dealing with both the Alliance and the government. Given that Great Hero Nangong Yuan is the patriarch, he should be the most suitable candidate to serve as the Alliance Leader of the Wulin Alliance."
Story/D_6_5_3_139,"The Shangguan Clan, though supported by the Imperial Court, has not yet united the court and the realm in heart and virtue, and they might avoid suspicion."
Story/O_6_5_3_003,Perhaps the Nangong Family can once again restore their former glory.
Story/D_6_5_3_138,"The remaining ones are Nangong and Shangguan, the two major family heads..."
Story/D_6_5_3_137,"That Jinwu Shangren could sit on the Kongtong Sect Leader's seat is like the heavens being blind. With the heroes of the Central Plains present here, how could he possibly be allowed to embarrass himself?"
Story/D_6_5_3_136,"The Kongtong sect remains leaderless to this day, with even the head of the sect refusing to step forward. It will be difficult to become the Leader of the Wulin Alliance."
